doc_id,segment_id,sender,source_language,target_language,lp,source,mt,reference,nr_words,severity,minor,major,critical,mqm,typology_error,error,start_index,end_index
en_de_#CLIENT-02#_default_2021-02-07-11,0,client,de,en,de_en,"Erhalte seit 3 Wochen, beim Versuch, ein neues Buch herunterzuladen diese Fehlermeldung, meine Kontodaten und Kontaktdaten sind aber aktuell:","Have been receiving this error message for 3 weeks when trying to download a new book, but my account details and contact details are up to date:","For the past 3 weeks I get this error message when I try to download a new book, but my account details and contact details are up to date:",27,minor,1,0,0,96.2962963,Omission,,0,0
en_de_#CLIENT-02#_default_2021-02-07-11,1,client,de,en,de_en,Oops!,Oops!,Oops!,1,,0,0,0,100.0,,,,
en_de_#CLIENT-02#_default_2021-02-07-11,2,client,de,en,de_en,Something went wrong.,Something went wrong.,Something went wrong.,3,,0,0,0,100.0,,,,
en_de_#CLIENT-02#_default_2021-02-07-11,3,client,de,en,de_en,Please try again later.,Please try again later.,Please try again later.,4,,0,0,0,100.0,,,,
en_de_#CLIENT-02#_default_2021-02-07-11,4,client,de,en,de_en,"Bitte um Hilfe zur Fehlerbehebung, da ich","Please ask for troubleshooting help, as I","Please help with troubleshooting, as I",7,minor/neutral/minor,2,0,0,71.42857143,Mistranslation/Source Issue/Omission,Please//,0/41/6,6/41/7
en_de_#CLIENT-02#_default_2021-02-07-11,5,client,de,en,de_en,ansonsten einen anderen e-Book #PRS_ORG# kaufe.,Otherwise buy another e-book #PRS_ORG#.,will buy another e-book #PRS_ORG# otherwise.,5,neutral/major,0,1,0,0.0,Source Issue/Grammar,Otherwise buy/buy,0/10,13/13
en_de_#CLIENT-02#_default_2021-02-07-11,6,client,de,en,de_en,#EMAIL#,#EMAIL#,#EMAIL#,1,,0,0,0,100.0,,,,
en_de_#CLIENT-02#_default_2021-02-07-11,7,client,de,en,de_en,#NAME#: #PRS_ORG#,#NAME#: #PRS_ORG#,#NAME#: #PRS_ORG#,2,,0,0,0,100.0,,,,
en_de_#CLIENT-02#_default_2021-02-07-11,8,agent,en,de,en_de,Thank you for the information.,Vielen Dank für die Informationen.,Vielen Dank für die Informationen.,5,,0,0,0,100.0,,,,
en_de_#CLIENT-02#_default_2021-02-07-11,9,agent,en,de,en_de,I will be more than happy to assist you.,Ich werde Ihnen gerne behilflich sein.,Ich bin dir sehr gerne behilflich.,6,,0,0,0,100.0,,,,
en_de_#CLIENT-02#_default_2021-02-07-11,10,agent,en,de,en_de,Please sign out and sign in from your account on the #PRS_ORG#.,Bitte melden Sie sich ab und melden Sie sich von Ihrem Konto unter #PRS_ORG# an.,Bitte melde dich von deinem Konto auf #PRS_ORG# ab und wieder an.,15,,0,0,0,100.0,,,,
en_de_#CLIENT-02#_default_2021-02-07-11,11,client,de,en,de_en,Was ist gemeint?,What is meant?,What do you mean?,3,,0,0,0,100.0,,,,
en_de_#CLIENT-02#_default_2021-02-07-11,12,client,de,en,de_en,Aus- und wieder einschalten?,Switching off and on again?,Turn off and on again?,5,,0,0,0,100.0,,,,
en_de_#CLIENT-02#_default_2021-02-07-11,13,agent,en,de,en_de,"To sign out from your #PRS_ORG#, please proceed with the steps indicated below:","Um sich von Ihrem #PRS_ORG# abzumelden, fahren Sie bitte mit den unten angegebenen Schritten fort:","Um dich von deinem #PRS_ORG# abzumelden, fahre bitte mit den folgenden Schritten fort:",15,,0,0,0,100.0,,,,
en_de_#CLIENT-02#_default_2021-02-07-11,14,agent,en,de,en_de,1,1,1,1,,0,0,0,100.0,,,,
en_de_#CLIENT-02#_default_2021-02-07-11,15,agent,en,de,en_de,Go to your Home screen.,Gehen Sie zu Ihrem Startbildschirm.,Gehe zu deinem Startbildschirm.,5,,0,0,0,100.0,,,,
en_de_#CLIENT-02#_default_2021-02-07-11,16,agent,en,de,en_de,2,2,2,1,,0,0,0,100.0,,,,
en_de_#CLIENT-02#_default_2021-02-07-11,17,agent,en,de,en_de,Tap the More icon at the bottom of the screen.,Tippen Sie auf das Mehr-Symbol am unteren Bildschirmrand.,Tippe auf das Mehr-Symbol am unteren Rand des Bildschirms.,8,,0,0,0,100.0,,,,
en_de_#CLIENT-02#_default_2021-02-07-11,18,agent,en,de,en_de,3,3,3,1,,0,0,0,100.0,,,,
en_de_#CLIENT-02#_default_2021-02-07-11,19,agent,en,de,en_de,Tap Settings.,Tippen Sie auf Einstellungen.,Tippe auf Einstellungen.,4,,0,0,0,100.0,,,,
en_de_#CLIENT-02#_default_2021-02-07-11,20,agent,en,de,en_de,4,4,4,1,,0,0,0,100.0,,,,
en_de_#CLIENT-02#_default_2021-02-07-11,21,agent,en,de,en_de,Tap Accounts.,Tippen Sie auf Konten.,Tippe auf Konten.,4,,0,0,0,100.0,,,,
en_de_#CLIENT-02#_default_2021-02-07-11,22,agent,en,de,en_de,5,5,5,1,,0,0,0,100.0,,,,
