doc_id,segment_id,sender,source_language,target_language,lp,source,mt,reference,nr_words,severity,minor,major,critical,mqm,typology_error,error,start_index,end_index
en_de_#CLIENT-01#_default_2021-01-10-60,0,client,de,en,de_en,"Ich sandte Ihnen bereits eine Mail, die Sie nicht beantwortet haben.",I have already sent you an email that you have not answered.,I've already sent you an email to which you didn't reply.,12,,0,0,0,100.0,,,,
en_de_#CLIENT-01#_default_2021-01-10-60,1,client,de,en,de_en,Nochmal die Frage.,"Again, the question.",Once more.,3,,0,0,0,100.0,,,,
en_de_#CLIENT-01#_default_2021-01-10-60,2,client,de,en,de_en,"In der Bestellung und auf der Rechnung steht, dass die Ware bis in ein Zimmer meiner Wahl geliefert wird.",The order and invoice state that the goods will be delivered to a room of my choice.,"In the order and on the invoice, it says that the goods will be delivered to a room of my choice.",17,,0,0,0,100.0,,,,
en_de_#CLIENT-01#_default_2021-01-10-60,3,client,de,en,de_en,Der Spediteur ist Firma #NAME#.,The carrier is company #NAME#.,The carrier is #NAME#.,5,,0,0,0,100.0,,,,
en_de_#CLIENT-01#_default_2021-01-10-60,4,client,de,en,de_en,Ich rief gerade dort an.,I just called there.,I just called them.,4,,0,0,0,100.0,,,,
en_de_#CLIENT-01#_default_2021-01-10-60,5,client,de,en,de_en,"Man teilte mir mit, dass sie nur vor die Haustür liefern - wegen #PRS_ORG#.",I was told they only deliver to the front door because of #PRS_ORG#.,They told me they'd only deliver to the doorstep because of #PRS_ORG#.,13,,0,0,0,100.0,,,,
en_de_#CLIENT-01#_default_2021-01-10-60,6,client,de,en,de_en,Ist das so?,Is that true?,Is that so?,3,,0,0,0,100.0,,,,
en_de_#CLIENT-01#_default_2021-01-10-60,7,client,de,en,de_en,"Falls ja, muss ich die Bestellung stornieren, da ich keine Person kenne, die mir die schweren Möbel in den ersten Stock tragen kann.","If so, I have to cancel the order as I don't know any person who can carry the heavy furniture to the first floor.","If so, I have to cancel the order because I don't know any person who can carry the heavy furniture up to the first floor.",25,,0,0,0,100.0,,,,
en_de_#CLIENT-01#_default_2021-01-10-60,8,client,de,en,de_en,werde ich denn nicht angerufen?,am I not making phone call?,Won't anybody call me?,6,critical,0,0,1,-66.66666667,Mistranslation,making phone call,9,26
en_de_#CLIENT-01#_default_2021-01-10-60,9,client,de,en,de_en,Ich hatte eine Frage formuliert,I had formulated a question,I have asked a question?,5,,0,0,0,100.0,,,,
en_de_#CLIENT-01#_default_2021-01-10-60,10,agent,en,de,en_de,"Good Afternoon, thank you for getting in contact with #URL#, you're through to #NAME#.","Guten Tag, vielen Dank, dass Sie sich mit #URL# in Verbindung gesetzt haben, Sie sind bei #NAME#.","Guten Tag, vielen Dank, dass du dich mit #URL# in Verbindung gesetzt hast. Ich bin #NAME#.",17,,0,0,0,100.0,,,,
en_de_#CLIENT-01#_default_2021-01-10-60,11,client,de,en,de_en,möchten Sie auf meine Frage antworten?,would you like to answer my question?,Would you please answer my question?,7,,0,0,0,100.0,,,,
en_de_#CLIENT-01#_default_2021-01-10-60,12,agent,en,de,en_de,"I will have this looked into for you, could you confirm the order number, name on the account, email address and delivery address please?","Ich werde das für Sie überprüfen lassen. Könnten Sie bitte die Bestellnummer, den Namen auf dem Konto, die E-Mail-Adresse und die Lieferadresse bestätigen?","Ich werde dies für dich prüfen. Kannst du bitte die Bestellnummer, den Namen im Konto, die E-Mail-Adresse und die Lieferadresse bestätigen?",24,,0,0,0,100.0,,,,
en_de_#CLIENT-01#_default_2021-01-10-60,13,client,de,en,de_en,Bestellell-Nr. #NUMBER#,Order No. #NUMBER#,Order No. #NUMBER#,3,,0,0,0,100.0,,,,
en_de_#CLIENT-01#_default_2021-01-10-60,14,client,de,en,de_en,"- #NAME#, #EMAIL#","- #NAME#, #EMAIL#","- #NAME#, #EMAIL#",2,,0,0,0,100.0,,,,
en_de_#CLIENT-01#_default_2021-01-10-60,15,client,de,en,de_en,#ADDRESS#,#ADDRESS#,#ADDRESS#,1,,0,0,0,100.0,,,,
en_de_#CLIENT-01#_default_2021-01-10-60,16,client,de,en,de_en,"#ADDRESS#, #ADDRESS# #ADDRESS#","#ADDRESS#, #ADDRESS# #ADDRESS#","#ADDRESS#, #ADDRESS# #ADDRESS#",3,,0,0,0,100.0,,,,
en_de_#CLIENT-01#_default_2021-01-10-60,17,agent,en,de,en_de,"Thank you, I am just looking into this for you","Vielen Dank, ich untersuche das gerade für Sie","Vielen Dank, ich untersuche das für dich.",8,,0,0,0,100.0,,,,
en_de_#CLIENT-01#_default_2021-01-10-60,18,client,de,en,de_en,bis wann melden Sie sich?,When do you get in touch?,By what time will you get in touch?,6,minor,1,0,0,83.33333333,Omission,,0,0
en_de_#CLIENT-01#_default_2021-01-10-60,19,client,de,en,de_en,"Falls die Lieferung nicht in meine Wohnung erfolgen kann, muss ich die Bestellung stornieren !","If the delivery cannot be made to my apartment, I must cancel the order!","If the delivery cannot be made to my apartment, I'll have to cancel the order!",14,,0,0,0,100.0,,,,
en_de_#CLIENT-01#_default_2021-01-10-60,20,agent,en,de,en_de,"I am just checking this information for you, I won't be long","Ich überprüfe diese Informationen nur für Sie, ich werde nicht lange warten","Ich überprüfe diese Informationen nur für dich, ich werde nicht lange brauchen.",12,minor/minor,2,0,0,83.33333333,Mistranslation/Mistranslation,nur/warten,34/69,37/75
en_de_#CLIENT-01#_default_2021-01-10-60,21,agent,en,de,en_de,"I have checked and this would be contactless so they would not be able to bring the item to your property I am afraid, I do apologise about this","Ich habe nachgesehen und dies wäre kontaktlos, damit sie den Artikel nicht zu Ihrem Grundstück bringen können. Ich fürchte, ich entschuldige mich dafür","Ich habe es überprüft und dies wäre kontaktlos, sodass sie den Artikel leider nicht zu deinem Grundstück bringen können. Ich entschuldige mich dafür.",23,minor/minor/neutral,2,0,0,91.30434783,Punctuation/Punctuation/Source Issue,"./,/,",109/122/122,110/123/123
en_de_#CLIENT-01#_default_2021-01-10-60,22,client,de,en,de_en,es wurde mir aber so in Ihrer Bestätigung der Bestellung bestätigt,but it was confirmed in your order confirmation,"However, it was confirmed to me in your order confirmation.",8,,0,0,0,100.0,,,,
en_de_#CLIENT-01#_default_2021-01-10-60,23,agent,en,de,en_de,#URL#,#URL#,#URL#,1,,0,0,0,100.0,,,,
en_de_#CLIENT-01#_default_2021-01-10-60,24,agent,en,de,en_de,"We have a dedicated page for COVID-FAQs which details that all of our deliveries are contactless, this is our most up-to-date information","Wir haben eine spezielle Seite für COVID-FAQs, die angibt, dass alle unsere Lieferungen kontaktlos sind. Dies sind unsere aktuellsten Informationen","Wir haben eine spezifische Seite für COVID-FAQs, auf der angegeben ist, dass alle unsere Lieferungen kontaktlos sind. Dies ist unsere aktuellste Information.",20,,0,0,0,100.0,,,,
en_de_#CLIENT-01#_default_2021-01-10-60,25,client,de,en,de_en,Wie kann ich jetzt die Bestellung stornieren?,How can I cancel the order now?,How can I cancel the order now?,7,,0,0,0,100.0,,,,
en_de_#CLIENT-01#_default_2021-01-10-60,26,client,de,en,de_en,But you have confirmed it to me with the order and in the invoice.,But you have confirmed it to me with the order and in the invoice.,But you have confirmed it to me with the order and in the invoice.,14,,0,0,0,100.0,,,,
