doc_id,segment_id,sender,source_language,target_language,lp,source,mt,reference,nr_words,severity,minor,major,critical,mqm,typology_error,error,start_index,end_index
en_fr_#CLIENT-02#_default_2021-01-17-53,0,client,fr,en,fr_en,impossible d'ouvrir un document ebook de ma lissues #PRS_ORG#,It is impossible to open an ebook document from my lissues #PRS_ORG#,can't open an eBook document from my e-Reader #PRS_ORG#,12,neutral/critical,0,0,1,16.66666667,Source Issue/Untranslated,lissues/lissues,51/51,58/58
en_fr_#CLIENT-02#_default_2021-01-17-53,1,client,fr,en,fr_en,#EMAIL#,#EMAIL#,#EMAIL#,1,,0,0,0,100.0,,,,
en_fr_#CLIENT-02#_default_2021-01-17-53,2,client,fr,en,fr_en,09/01/#NUMBER#,09/01/#NUMBER#,09/01/#NUMBER#,3,,0,0,0,100.0,,,,
en_fr_#CLIENT-02#_default_2021-01-17-53,3,client,fr,en,fr_en,impossible d'ouvrir un ebook Serge de #NAME#,It is impossible to open a Serge ebook from #NAME#,can't open an eBook Serge by #NAME#,10,,0,0,0,100.0,,,,
en_fr_#CLIENT-02#_default_2021-01-17-53,4,agent,en,fr,en_fr,Thank you for the information.,Merci pour l'information.,Merci pour l'information.,4,,0,0,0,100.0,,,,
en_fr_#CLIENT-02#_default_2021-01-17-53,5,agent,en,fr,en_fr,I will be more than happy to assist you.,Je serai plus que heureux de vous aider.,Je serai ravi de vous aider.,8,,0,0,0,100.0,,,,
en_fr_#CLIENT-02#_default_2021-01-17-53,6,agent,en,fr,en_fr,"To confirm you on this account, the title you mentioned doesn't appear","Pour vous confirmer sur ce compte, le titre que vous avez mentionné ne apparaît pas",Je peux confirmer que le titre que vous avez mentionné n'apparaît pas sur le compte.,15,minor/minor,2,0,0,86.66666667,Spelling/Punctuation,ne/,68/83,70/83
en_fr_#CLIENT-02#_default_2021-01-17-53,7,client,fr,en,fr_en,il figure pourtant dans le dossier mes Livres sur ma liseuse,The book is in my book on my readers.,It still appears in the folder my Books on my e-Reader,9,major/major,0,2,0,-11.11111111,Mistranslation/Grammar,book/readers,18/29,22/36
en_fr_#CLIENT-02#_default_2021-01-17-53,8,agent,en,fr,en_fr,Let me refresh my page to see if it work and see your book.,Laissez-moi réparer ma page pour voir s'il fonctionne et voir votre livre.,Permettez-moi d'actualiser ma page pour voir si cela fonctionne et si votre livre apparaît.,13,major,0,1,0,61.53846154,Mistranslation,réparer,12,19
en_fr_#CLIENT-02#_default_2021-01-17-53,9,agent,en,fr,en_fr,"Thank you for holding, i can see you book now, have you tried to sign out of your account?","Merci de tenir, je peux vous voir réserver maintenant, avez-vous essayé de vous désinscrire de votre compte?","Merci d'avoir patienté, je peux voir votre livre maintenant, avez-vous essayé de vous déconnecter de votre compte ?",17,major/major/neutral/major/critical/minor,1,3,1,-52.94117647,Mistranslation/Grammar/Source Issue/Mistranslation/Mistranslation/Whitespace,tenir/vous/vous/réserver/désinscrire/compte?,9/24/24/34/80/101,14/28/28/42/91/108
en_fr_#CLIENT-02#_default_2021-01-17-53,10,client,fr,en,fr_en,non on fait comment?,We do not how?,"No, how do we do it?",4,major/major,0,2,0,-150.0,Word Order/Omission,not/?,6/13,9/14
en_fr_#CLIENT-02#_default_2021-01-17-53,11,agent,en,fr,en_fr,Can you provide us on which device are you trying to read tehe book?,Pouvez-vous nous indiquer sur quel appareil vous essayez de lire le livre de thé ?,Pouvez-vous me dire sur quel appareil vous essayez de lire ce livre ?,14,critical/neutral,0,0,1,28.57142857,Addition/Source Issue,de thé/de thé,74/74,80/80
en_fr_#CLIENT-02#_default_2021-01-17-53,12,client,fr,en,fr_en,#PRS_ORG#,by PRS_ORG,#PRS_ORG#,2,minor/minor,2,0,0,0.0,Addition/Punctuation,by/,0/2,2/3
en_fr_#CLIENT-02#_default_2021-01-17-53,13,agent,en,fr,en_fr,Thank you,Merci,Je vous remercie.,1,minor,1,0,0,0.0,Punctuation,,5,5
en_fr_#CLIENT-02#_default_2021-01-17-53,14,agent,en,fr,en_fr,"To sign out from your eReader, please proceed with the steps indicated below:","Pour vous désabonner de votre eReader, veuillez suivre les étapes ci-dessous:","Pour vous déconnecter de votre liseuse, veuillez procéder comme suit :",11,critical/minor/minor,2,0,1,-9.090909091,Mistranslation/Untranslated/Whitespace,désabonner/eReader/ci-dessous:,10/30/66,20/37/77
en_fr_#CLIENT-02#_default_2021-01-17-53,15,agent,en,fr,en_fr,1,1,1,1,,0,0,0,100.0,,,,
en_fr_#CLIENT-02#_default_2021-01-17-53,16,agent,en,fr,en_fr,Go to your Home screen.,Allez à votre écran d'accueil.,Allez sur votre écran d'accueil.,6,minor,1,0,0,83.33333333,Grammar,à,6,7
en_fr_#CLIENT-02#_default_2021-01-17-53,17,agent,en,fr,en_fr,2,2,2,1,,0,0,0,100.0,,,,
en_fr_#CLIENT-02#_default_2021-01-17-53,18,agent,en,fr,en_fr,Tap the Menu icon at the top of the screen.,Tapez l'icône Menu au sommet de l'écran.,Appuyez sur l'icône Menu en haut de l'écran.,9,major/minor,1,1,0,33.33333333,Mistranslation/Mistranslation,Tapez/au sommet de,0/19,5/31
en_fr_#CLIENT-02#_default_2021-01-17-53,19,agent,en,fr,en_fr,3,3,3,1,,0,0,0,100.0,,,,
en_fr_#CLIENT-02#_default_2021-01-17-53,20,agent,en,fr,en_fr,Tap Settings.,Tap Settings.,Appuyez sur Paramètres.,2,major,0,1,0,-150.0,Untranslated,Tap Settings,0,12
en_fr_#CLIENT-02#_default_2021-01-17-53,21,agent,en,fr,en_fr,4,4,4,1,,0,0,0,100.0,,,,
en_fr_#CLIENT-02#_default_2021-01-17-53,22,agent,en,fr,en_fr,Tap Accounts.,Tapez les comptes.,Appuyez sur Comptes.,3,major/minor/minor,2,1,0,-133.3333333,Mistranslation/Addition/Capitalization,Tapez/les/comptes,2000/6/10,5/9/17
en_fr_#CLIENT-02#_default_2021-01-17-53,23,agent,en,fr,en_fr,5,5,5,1,,0,0,0,100.0,,,,
en_fr_#CLIENT-02#_default_2021-01-17-53,24,agent,en,fr,en_fr,"Under #PRS_ORG#, tap Sign out.","Sous #PRS_ORG#, tapez Sign out.","Sous #PRS_ORG#, appuyez sur Déconnexion.",5,major/major,0,2,0,-100.0,Mistranslation/Untranslated,tapez/Sign out,16/22,21/30
