doc_id,segment_id,sender,source_language,target_language,lp,source,mt,reference,nr_words,severity,minor,major,critical,mqm,typology_error,error,start_index,end_index
en_fr_#CLIENT-02#_default_2021-01-03-4,0,client,fr,en,fr_en,"Bonjour,","Hello,","Hello,",1,,0,0,0,100.0,,,,
en_fr_#CLIENT-02#_default_2021-01-03-4,1,client,fr,en,fr_en,Des livres achetés et présents dans ma bibliothèque ne sont pas lisibles sur ma liseuse,Books purchased and located in my library are not readable on my reader,Books purchased and present in my library are not readable on my e-Reader,13,minor/minor,2,0,0,84.61538462,Omission/Mistranslation,/located,0/20,0/27
en_fr_#CLIENT-02#_default_2021-01-03-4,2,client,fr,en,fr_en,#EMAIL#,#EMAIL#,#EMAIL#,1,,0,0,0,100.0,,,,
en_fr_#CLIENT-02#_default_2021-01-03-4,3,client,fr,en,fr_en,9/01/#NUMBER#,9/01/#NUMBER#,9/01/#NUMBER#,3,,0,0,0,100.0,,,,
en_fr_#CLIENT-02#_default_2021-01-03-4,4,client,fr,en,fr_en,Le #PRS_ORG# de #NAME#,The #PRS_ORG# by #NAME#,The #PRS_ORG# of #NAME#,4,minor,1,0,0,75.0,Addition,The,0,3
en_fr_#CLIENT-02#_default_2021-01-03-4,5,agent,en,fr,en_fr,Thank you for the information.,Merci pour ces informations.,Merci pour les informations.,4,,0,0,0,100.0,,,,
en_fr_#CLIENT-02#_default_2021-01-03-4,6,agent,en,fr,en_fr,I will be more than happy to assist you.,Je serai ravi de vous aider.,Nous nous ferons un plaisir de vous aider.,6,,0,0,0,100.0,,,,
en_fr_#CLIENT-02#_default_2021-01-03-4,7,agent,en,fr,en_fr,Are you seeing any error message in the e reader when trying to open these books?,Voyez-vous un message d'erreur dans la liseuse lorsque vous essayez d'ouvrir ces livres?,Voyez-vous un message d'erreur dans la liseuse lorsque vous essayez d'ouvrir ces livres ?,15,minor/minor,2,0,0,86.66666667,Grammar/Whitespace,dans/livres?,31/81,35/88
en_fr_#CLIENT-02#_default_2021-01-03-4,8,client,fr,en,fr_en,Ma liseuse m'indique qu'il est impossible d'ouvrir le document quand je veux lire 2 des ouvrages présents dans ma bibliothèque.,My reader tells me that it is impossible to open the document when I want to read 2 of the books in my library.,My e-Reader tells me that it is impossible to open the document when I want to read 2 of the books in my library.,24,minor,1,0,0,95.83333333,Mistranslation,tells,10,15
en_fr_#CLIENT-02#_default_2021-01-03-4,9,client,fr,en,fr_en,La synchronisation ni change rien,The synchronization does not change anything,Synchronization does not change anything,6,,0,0,0,100.0,,,,
en_fr_#CLIENT-02#_default_2021-01-03-4,10,agent,en,fr,en_fr,Are all your books affected?,Tous vos livres sont-ils concernés?,Tous vos livres sont-ils affectés ?,5,minor,1,0,0,80.0,Whitespace,concernés?,25,35
en_fr_#CLIENT-02#_default_2021-01-03-4,11,agent,en,fr,en_fr,All 5 books recently purchased?,Tous les 5 livres achetés récemment?,Les 5 livres récemment achetés ?,6,minor,1,0,0,83.33333333,Whitespace,récemment?,26,36
en_fr_#CLIENT-02#_default_2021-01-03-4,12,client,fr,en,fr_en,non,no,no,1,,0,0,0,100.0,,,,
en_fr_#CLIENT-02#_default_2021-01-03-4,13,agent,en,fr,en_fr,No to what?,Non à quoi?,Non à quoi ?,3,minor,1,0,0,66.66666667,Whitespace,quoi?,6,11
en_fr_#CLIENT-02#_default_2021-01-03-4,14,client,fr,en,fr_en,Non; 2 livres sont affectés,"No, 2 books are allocated.",No; books are affected,5,major,0,1,0,0.0,Mistranslation,allocated,16,25
en_fr_#CLIENT-02#_default_2021-01-03-4,15,agent,en,fr,en_fr,2 books?,2 livres?,2 livres ?,2,minor,1,0,0,50.0,Whitespace,livres?,2,9
en_fr_#CLIENT-02#_default_2021-01-03-4,16,client,fr,en,fr_en,oui,yes,yes.,1,,0,0,0,100.0,,,,
en_fr_#CLIENT-02#_default_2021-01-03-4,17,agent,en,fr,en_fr,"I am sorry, I am not understanding.","Je suis désolé, je ne comprends pas.","Je vous présente mes excuses, je ne comprends pas.",7,,0,0,0,100.0,,,,
en_fr_#CLIENT-02#_default_2021-01-03-4,18,agent,en,fr,en_fr,"Oh okay, 2 books are affected, correct?","D'accord, 2 livres sont concernés, n'est-ce pas?","Oh d'accord, 2 livres sont affectés, n'est-ce pas ?",9,minor,1,0,0,88.88888889,Whitespace,pas?,44,48
en_fr_#CLIENT-02#_default_2021-01-03-4,19,client,fr,en,fr_en,oui,yes,yes.,1,,0,0,0,100.0,,,,
en_fr_#CLIENT-02#_default_2021-01-03-4,20,agent,en,fr,en_fr,Please provide me the two book titles,Veuillez me fournir les titres des deux livres.,Veuillez me fournir les deux titres de livres,8,,0,0,0,100.0,,,,
