doc_id,segment_id,sender,source_language,target_language,lp,source,mt,reference,nr_words,severity,minor,major,critical,mqm,typology_error,error,start_index,end_index
en_pt-br_#CLIENT-04#_2021-01-24-2,0,client,pt-br,en,pt-br_en,Boa noite!,Good night!,Good evening.,2,major,0,1,0,-150.0,Mistranslation,night,5,10
en_pt-br_#CLIENT-04#_2021-01-24-2,1,client,pt-br,en,pt-br_en,"Já iniciei dois outros chats, mas eles somem","I’ve already started two other chats, but they sum","I have started two other chats, but they disappear.",10,critical,0,0,1,0.0,Mistranslation,sum,47,50
en_pt-br_#CLIENT-04#_2021-01-24-2,2,agent,en,pt-br,en_pt-br,What can I do for you?,O que posso fazer por você?,O que posso fazer por você?,6,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-04#_2021-01-24-2,3,client,pt-br,en,pt-br_en,Gostaria de receber de volta os créditos das aulas que não aconteceram,I would like to get back the credits from the classes that didn’t happen.,I would like to receive back the credits of classes that did not happen.,15,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-04#_2021-01-24-2,4,agent,en,pt-br,en_pt-br,OK!,OK!,Está bem!,1,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-04#_2021-01-24-2,5,agent,en,pt-br,en_pt-br,What class are you referring to?,Em que classe você se refere?,A que aula você está se referindo?,6,minor,1,0,0,83.33333333,Mistranslation,classe,7,13
en_pt-br_#CLIENT-04#_2021-01-24-2,6,client,pt-br,en,pt-br_en,"Uma aula de alongamento no sábado na academia #PRS_ORG#, e uma aula de astanga na #PRS_ORG#","An extension class on Saturday at the #PRS_ORG# academy, and an astanga class at #PRS_ORG#","A stretching class on Saturday at #PRS_ORG# gym, and an ashtanga class at #PRS_ORG# gym.",15,critical/major/critical,0,1,2,-66.66666667,Mistranslation/Mistranslation/Untranslated,extension/academy/astanga,3/48/64,12/55/71
en_pt-br_#CLIENT-04#_2021-01-24-2,7,agent,en,pt-br,en_pt-br,Both classes were on Saturday?,As duas aulas foram no sábado.,Ambas as aulas eram no Sábado?,6,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-04#_2021-01-24-2,8,client,pt-br,en,pt-br_en,Nao,The extension class was on the 22nd of this month,No.,10,critical,0,0,1,0.0,MT Hallucination,The extension class was on the 22nd of this month,0,49
en_pt-br_#CLIENT-04#_2021-01-24-2,9,client,pt-br,en,pt-br_en,A aula de alongamento foi no dia 22 desse mês,And the Astanga class on #PRS_ORG# on the 5th of October,The stretching class was on the 22nd of this month.,11,critical,0,0,1,9.090909091,MT Hallucination,And the Astanga class on #PRS_ORG# on the 5th of October,0,56
en_pt-br_#CLIENT-04#_2021-01-24-2,10,client,pt-br,en,pt-br_en,E a de Astanga na #PRS_ORG# no dia 5 de outubro,.,And the Ashtanga class was in #PRS_ORG# on October 5.,0,critical,0,0,1,0.0,MT Hallucination,.,0,1
en_pt-br_#CLIENT-04#_2021-01-24-2,11,client,pt-br,en,pt-br_en,Nenhuma aconteceu,Nothing happened,None happened.,2,major,0,1,0,-150.0,Mistranslation,Nothing,0,7
en_pt-br_#CLIENT-04#_2021-01-24-2,12,agent,en,pt-br,en_pt-br,Oh.,Oh.,Ah.,1,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-04#_2021-01-24-2,13,agent,en,pt-br,en_pt-br,It's in October.,É em Outubro.,É em outubro.,3,minor,1,0,0,66.66666667,Wrong Named Entity,Outubro,5,12
en_pt-br_#CLIENT-04#_2021-01-24-2,14,agent,en,pt-br,en_pt-br,One moment please.,Um momento por favor.,"Um momento, por favor.",4,minor,1,0,0,75.0,Punctuation,,10,11
en_pt-br_#CLIENT-04#_2021-01-24-2,15,client,pt-br,en,pt-br_en,Ok :),Ok to you :),OK.,3,minor,1,0,0,66.66666667,Addition,to you,3,9
en_pt-br_#CLIENT-04#_2021-01-24-2,16,agent,en,pt-br,en_pt-br,Alright.,Alright.,Tudo bem!,1,major,0,1,0,-400.0,Untranslated,Alright,0,7
en_pt-br_#CLIENT-04#_2021-01-24-2,17,agent,en,pt-br,en_pt-br,I've returned the credits to you.,Eu tenho devolvido os créditos para você.,Eu devolvi os créditos para você.,7,major,0,1,0,28.57142857,Grammar,tenho devolvido,3,18
en_pt-br_#CLIENT-04#_2021-01-24-2,18,agent,en,pt-br,en_pt-br,"In the future, please contact us more quickly if there is a class that does not happen.","No futuro, por favor, entre em contato conosco mais rapidamente se há uma classe que não acontece.","No futuro, entre em contato conosco mais rápido se houver uma aula que não ocorra.",17,major/major,0,2,0,41.17647059,Grammar/Mistranslation,há/não acontece,67/85,69/97
en_pt-br_#CLIENT-04#_2021-01-24-2,19,agent,en,pt-br,en_pt-br,I am not able to correct the reservation for the October class because it happened more than 4 months ago.,Eu não posso corrigir a reserva para a classe de Outubro porque aconteceu mais de 4 meses atrás.,Não consigo corrigir a reserva para a aula de outubro porque isso aconteceu há mais de 4 meses.,18,minor/minor,2,0,0,88.88888889,Mistranslation/Wrong Named Entity,classe/Outubro,39/49,45/56
en_pt-br_#CLIENT-04#_2021-01-24-2,20,agent,en,pt-br,en_pt-br,"However, I've added 3 credit for that class to your account.","No entanto, eu adicionei 3 créditos para essa classe à sua conta.","No entanto, adicionamos 3 créditos por essa aula à sua conta.",12,minor,1,0,0,91.66666667,Mistranslation,classe,46,52
en_pt-br_#CLIENT-04#_2021-01-24-2,21,client,pt-br,en,pt-br_en,Tudo bem,All good,All right.,2,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-04#_2021-01-24-2,22,client,pt-br,en,pt-br_en,Avisarei!,I will notify!,I'll let you know!,3,minor,1,0,0,66.66666667,Omission,!,13,14
en_pt-br_#CLIENT-04#_2021-01-24-2,23,agent,en,pt-br,en_pt-br,Thank you!,Obrigado!,Obrigado!,1,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-04#_2021-01-24-2,24,agent,en,pt-br,en_pt-br,Let me know if you have any other questions.,Deixe-me saber se você tem outras perguntas.,Me avisa se você tiver mais alguma dúvida.,7,major,0,1,0,28.57142857,Mistranslation,Deixe-me saber,0,14
en_pt-br_#CLIENT-04#_2021-01-24-2,25,client,pt-br,en,pt-br_en,Obrigada!!,Thank you!,Thanks.,2,minor,1,0,0,50.0,Punctuation,,10,10
en_pt-br_#CLIENT-04#_2021-01-24-2,26,client,pt-br,en,pt-br_en,Boa noite!,Good night!,Good evening.,2,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-02#_default_2021-01-17-4,0,client,pt-br,en,pt-br_en,"Boa tarde,","Good afternoon,","Good afternoon,",2,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-02#_default_2021-01-17-4,1,client,pt-br,en,pt-br_en,estou desde ontem a tentar adquirir um ebook no vosso site mas aparece sempre o erro interno do servidor #NUMBER# no momento da transação.,I am since yesterday trying to acquire an ebook on your site but always appears the internal server error #NUMBER# at the time of the transaction.,"Since yesterday, I have been trying to purchase an ebook on your site but it always shows the internal server error #NUMBER# at the time of the transaction.",26,minor/minor,2,0,0,92.30769231,Word Order/Word Order,since/the internal server error #NUMBER#,5/80,10/114
en_pt-br_#CLIENT-02#_default_2021-01-17-4,2,client,pt-br,en,pt-br_en,Como poderei resolver esta situação e adquirir o ebook?,How can I solve this situation and acquire the ebook?,How can I solve this and purchase the ebook?,10,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-02#_default_2021-01-17-4,3,client,pt-br,en,pt-br_en,Obrigada!,Thanks!,Thanks.,1,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-02#_default_2021-01-17-4,4,client,pt-br,en,pt-br_en,#EMAIL#,#EMAIL#,#EMAIL#,1,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-02#_default_2021-01-17-4,5,client,pt-br,en,pt-br_en,o único ebook que tenho neste momento,the only ebook I have right now,The only ebook I have right now,7,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-02#_default_2021-01-17-4,6,client,pt-br,en,pt-br_en,é o,It is,is the,2,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-02#_default_2021-01-17-4,7,client,pt-br,en,pt-br_en,#NAME#,#NAME#,#NAME#,1,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-02#_default_2021-01-17-4,8,agent,en,pt-br,en_pt-br,"Hi, thanks for the information.","Olá, obrigado pela informação.","Oi, obrigado pela informação.",4,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-02#_default_2021-01-17-4,9,agent,en,pt-br,en_pt-br,I will be happy to assist you.,Estou feliz em ajudá-lo.,Eu ficarei feliz em lhe ajudar.,4,minor,1,0,0,75.0,Mistranslation,Estou feliz,0,11
en_pt-br_#CLIENT-02#_default_2021-01-17-4,10,agent,en,pt-br,en_pt-br,Please allow me a moment to check your account.,"Por favor, permita-me um momento para verificar a sua conta.","Por favor, permita-me um momento para verificar sua conta.",10,major,0,1,0,50.0,Mistranslation,permita,11,18
en_pt-br_#CLIENT-02#_default_2021-01-17-4,11,client,pt-br,en,pt-br_en,ok,and OK,OK,2,minor/minor,2,0,0,0.0,Addition/Capitalization,and/OK,0/4,3/6
en_pt-br_#CLIENT-02#_default_2021-01-17-4,12,agent,en,pt-br,en_pt-br,Thanks for your patience.,Obrigado pela sua paciência.,Obrigado pela sua paciência.,4,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-02#_default_2021-01-17-4,13,agent,en,pt-br,en_pt-br,I am sorry to hear about this inconvenience.,Eu me arrependo de ouvir sobre este desconforto.,Lamento saber deste inconveniente.,8,major,0,1,0,37.5,Mistranslation,Eu me arrependo de ouvir sobre este desconforto.,0,48
en_pt-br_#CLIENT-02#_default_2021-01-17-4,14,agent,en,pt-br,en_pt-br,May I know which device and web browser are you using to access the website?,Posso saber qual dispositivo e navegador web você usa para acessar o site?,Posso saber qual dispositivo e navegador você está usando para acessar o site?,13,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-02#_default_2021-01-17-4,15,client,pt-br,en,pt-br_en,neste momento o computador,At this time the computer,"At this time, I'm on the computer",5,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-02#_default_2021-01-17-4,16,agent,en,pt-br,en_pt-br,Thanks.,Graças.,Obrigado.,1,major,0,1,0,-400.0,Mistranslation,Graças,0,6
en_pt-br_#CLIENT-02#_default_2021-01-17-4,17,agent,en,pt-br,en_pt-br,And which web browser?,E qual navegador?,E qual navegador da web?,3,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-02#_default_2021-01-17-4,18,agent,en,pt-br,en_pt-br,"#PRS_ORG#, #PRS_ORG#, #PRS_ORG#, #PRS_ORG#...?","#PRS_ORG#, #PRS_ORG#, #PRS_ORG#, #PRS_ORG#...?","#PRS_ORG#, #PRS_ORG#, #PRS_ORG#, #PRS_ORG#...?",4,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-02#_default_2021-01-17-4,19,client,pt-br,en,pt-br_en,#PRS_ORG#,#PRS_ORG#,#PRS_ORG#,1,,0,0,0,100.0,,,,
