doc_id,segment_id,sender,source_language,target_language,lp,source,mt,reference,nr_words,severity,minor,major,critical,mqm,typology_error,error,start_index,end_index
en_pt-br_#CLIENT-04#_2021-01-24-5,0,client,pt-br,en,pt-br_en,Olá!,Hello.,Hello.,1,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-04#_2021-01-24-5,1,client,pt-br,en,pt-br_en,Reservei uma aula que não acontece e não recebi os créditos de volta.,I booked a class that doesn't happen and didn't receive the credits back.,I booked a class that doesn't happen and didn't get the credits back.,15,major/neutral,0,1,0,66.66666667,Grammar/Source Issue,doesn't/doesn't,22/22,29/29
en_pt-br_#CLIENT-04#_2021-01-24-5,2,client,pt-br,en,pt-br_en,É a segunda vez que acontece.,It's the second time it happens.,It's the second time it happens.,7,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-04#_2021-01-24-5,3,client,pt-br,en,pt-br_en,Gostaria de receber os créditos da aula que não aconteceu de volta :),I would like to receive the class credits that did not happen back:),I would like to receive the credits of the class that did not happen back. : ),13,minor/minor/minor,3,0,0,76.92307692,Word Order/Omission/Whitespace,receive/ /back:),16/27/62,23/28/68
en_pt-br_#CLIENT-04#_2021-01-24-5,4,agent,en,pt-br,en_pt-br,Hi!,Olá!,Olá!,1,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-04#_2021-01-24-5,5,agent,en,pt-br,en_pt-br,Hope this day greets you well.,Espero que este dia agradeça bem.,Espero que você esteja tendo uma bom dia.,6,major,0,1,0,16.66666667,Mistranslation,agradeça,20,28
en_pt-br_#CLIENT-04#_2021-01-24-5,6,agent,en,pt-br,en_pt-br,:),:),:),0,,0,0,0,0.0,,,,
en_pt-br_#CLIENT-04#_2021-01-24-5,7,agent,en,pt-br,en_pt-br,I am sorry to hear you experienced trouble with your reservation.,Lamento saber que você teve problemas com sua reserva.,Lamento que você tenha tido problemas com sua reserva.,9,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-04#_2021-01-24-5,8,agent,en,pt-br,en_pt-br,"Not to worry, I'd be more than happy to help!","Não se preocupe, ficarei muito feliz em ajudar!","Não se preocupe, terei o maior prazer em ajudar!",8,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-04#_2021-01-24-5,9,agent,en,pt-br,en_pt-br,"So I can be of assistance, may I have the email address associated with your #PRS_ORG# account so I can pull it up?","Então, posso ajudar, posso ter o endereço de e-mail associado à sua conta da #PRS_ORG# para eu poder extraí-la?","Você poderia fornecer o endereço de e-mail vinculado à sua conta #PRS_ORG#, para que eu possa localizá-lo?",19,major,0,1,0,73.68421053,Mistranslation,"Então, posso ajudar",0,19
en_pt-br_#CLIENT-04#_2021-01-24-5,10,agent,en,pt-br,en_pt-br,We're unable to help you without it!,Não podemos ajudá-lo sem ele!,Não poderemos ajudar sem isso!,5,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-04#_2021-01-24-5,11,agent,en,pt-br,en_pt-br,:),:),:),0,,0,0,0,0.0,,,,
en_pt-br_#CLIENT-04#_2021-01-24-5,12,agent,en,pt-br,en_pt-br,Are you still there?,Você ainda está aí?,Você ainda está aí?,4,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-02#_default_2020-12-27-8,0,client,pt-br,en,pt-br_en,"O meu livro ""Música"" não mostra as imagens nem no #PRS_ORG# nem no telemóvel.","My book ""Música"" does not show the pictures either on #PRS_ORG# or on the phone.","My book ""Música"" does not show the images either on #PRS_ORG# or on mobile.",15,minor/minor,2,0,0,86.66666667,Mistranslation/Word Order,pictures/,35/0,43/0
en_pt-br_#CLIENT-02#_default_2020-12-27-8,1,client,pt-br,en,pt-br_en,Existe alguma versão melhor?,Is there a better version?,Is there any better version?,5,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-02#_default_2020-12-27-8,2,client,pt-br,en,pt-br_en,Claro!,Of course!,Of course!,2,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-02#_default_2020-12-27-8,3,client,pt-br,en,pt-br_en,:) #EMAIL#,:) #EMAIL#,:) #EMAIL#,1,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-02#_default_2020-12-27-8,4,agent,en,pt-br,en_pt-br,Thank you for the information.,Obrigado pela informação.,Obrigado pela informação.,3,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-02#_default_2020-12-27-8,5,agent,en,pt-br,en_pt-br,I will be more than happy to assist you.,Terei todo o prazer em ajudá-lo!,Terei todo o prazer em te ajudar!,6,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-02#_default_2020-12-27-8,6,client,pt-br,en,pt-br_en,Visitor uploaded: #PHONENUMBER#.jpg,Visitor uploaded: #PHONENUMBER#.jpg,Visitor uploaded: #PHONENUMBER#.jpg,4,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-02#_default_2020-12-27-8,7,client,pt-br,en,pt-br_en,URL: #URL#,URL: #URL#,URL: #URL#,2,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-02#_default_2020-12-27-8,8,client,pt-br,en,pt-br_en,Type: image/jpeg,Type: image/jpeg,Type: image/jpeg,3,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-02#_default_2020-12-27-8,9,client,pt-br,en,pt-br_en,Size: #PHONENUMBER#,Size: #PHONENUMBER#,Size: #PHONENUMBER#,2,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-02#_default_2020-12-27-8,10,agent,en,pt-br,en_pt-br,does your ebook has a content problem?,Seu e-book tem um problema de conteúdo?,Seu e-book tem um problema de conteúdo?,7,,0,0,0,100.0,,,,
en_pt-br_#CLIENT-02#_default_2020-12-27-8,11,client,pt-br,en,pt-br_en,É isto que acontece.,That is all.,This is what happens.,3,critical,0,0,1,-233.3333333,MT Hallucination,That is all,0,11
en_pt-br_#CLIENT-02#_default_2020-12-27-8,12,client,pt-br,en,pt-br_en,No telemóvel é igual.,On mobile it's the same.,On your phone it's the same.,6,minor,1,0,0,83.33333333,Word Order,it's the same,10,23
en_pt-br_#CLIENT-02#_default_2020-12-27-8,13,agent,en,pt-br,en_pt-br,ok probably the ebook is poorly formatted,"Ok, provavelmente o e-book está mal formatado","Ok, provavelmente o e-book está mal formatado",7,minor,1,0,0,85.71428571,Punctuation,,45,45
